direction,n_genes,alpha,internalCV_C,GSE181063_C,GSE181063_dC,GSE181063_lo,GSE181063_hi,GSE181063_slope,GSE87371_C,GSE87371_dC,GSE87371_lo,GSE87371_hi,GSE87371_slope
GSE10846->ext,7,0.12,0.679,0.601,-0.087,-0.137,-0.038,1.534,0.633,-0.156,-0.256,-0.062,1.63
GSE10846->ext,19,0.099,0.677,0.626,-0.061,-0.11,-0.015,1.295,0.679,-0.108,-0.212,-0.018,1.502
GSE10846->ext,51,0.068,0.669,0.64,-0.047,-0.094,-0.001,0.628,0.645,-0.142,-0.238,-0.051,0.6
GSE10846->ext,106,0.039,0.645,0.625,-0.062,-0.109,-0.017,0.337,0.647,-0.14,-0.222,-0.054,0.295
GSE10846->ext,201,0.002,0.642,0.6,-0.087,-0.133,-0.04,0.031,0.676,-0.111,-0.197,-0.026,0.067
GSE10846->ext,204,0.002,0.641,0.6,-0.087,-0.134,-0.041,0.029,0.676,-0.111,-0.194,-0.025,0.063
